song,artist
Be Like That,3 Doors Down
Someone Like You,Adele
This Is What It Feels Like,Armin van Buuren
All You Need Is Love,Avicii - Ezon remix
Girlfriend,Avril Lavigne
Complicated,Avril Lavigne
Four Chord Songs,Axis of Awesome
What's My Age Again,Blink 182
Living On A Prayer,Bon Jovi
Born to make you happy,Britney Spears
Grenade,Bruno Mars
Call Me Maybe,Carly Rae Jepsen
So Small,Carrie Underwood
Every Time We Touch,Cascada
Awesome,Charles Jenkins
Parachute,Cheryl Cole
Jar Of Hearts,Christina Perri
Time After Time,Cyndi Lauper
Breakfast At Tiffany's,Deep Blue Something
Heart Attack,Demi Lovato
Stereo Love,Edward Maya
Escape,Enrique Iglesias
Dimelo,Enrique Iglesias
Always,Erasure
Bring Me To Life,Evanescence
My Songs Know What You Did In The Dark,Fall Out Boy
Whistle,Flo Rida
21 Guns,Green Day
When I Come Around,Green Day
Holiday,Green Day
Boulevard of Broken Dreams,Green Day
I'm Yours,Jason Mraz
The Internet Is For Porn,Jeff Marx and Robert Lopez
Illumielle,Jo Blankenburg
Already Gone,Kelly Clarkson
The Edge Of Glory,Lady Gaga
Paparazzi,Lady Gaga
Alejandro,Lady Gaga
Transcendence,Lindsey Stirling
Castle Of Glass,Linkin Park
Numb,Linkin Park
She Will Be Loved,Maroon 5
Real World,Matchbox 20
Ai Se Eu Te Pego,Michel Telo
2012 'If The World Would End',Mike Candys
The Cave,Mumford and Sons
Please Play This Song On The Radio,NOFX
Little Talks,Of Monsters And Men
Wagon Wheel,Old Crow Medicine Show
Live While We're Young,One Direction
Say,One Republic
Let Her Go,Passenger
Take A Walk,Passion Pit
U and Ur Hand,Pink
Mizuiro Girlfriend,Plastic Tree
Snow -Hey Oh-,Red Hot Chili Peppers
Otherside,Red Hot Chili Peppers
Love The Way You Lie Part 2,Rihanna
Living in Stereo,RIO
Seasons,Rome
Listen To Your Heart,Roxette
Waka Waka,Shakira
Wasted Time,Skid Row
The Bannered Mare,Skyrim OST
Run,Snow Patrol
Confusion and Frustration in Modern Times,Sum 41
Walking Disaster,Sum 41
Stay Stay Stay,Taylor Swift
I Knew You Were Trouble,Taylor Swift
Eyes Open,Taylor Swift
Life,The Avett Brothers
Just What I Needed,The Cars
Jack Sparrow,The Lonely Island
Sub Focus,Tidal Wave
Pair of Dice,Tiesto and Allure
It's Your Love,Tim McGraw
Where The Green Grass Grows,Tim McGraw
Africa,Toto
Hey Soul Sister,Train
River flows in you,Yiruma
Say Something,A Great Big World
Lieder,Adel Tawil
Amazing,Alex Lloyd
I Love College,Asher Roth
Hey Brother,Avicii
The One,Backstreet Boys
All I Ever Wanted,Basshunter
Don't Think Twice It's Alright,Bob Dylan
To The Stars,Braken
You Drive Me Crazy,Britney Spears
Tears of The Dragon,Bruce Dickinson
Jessica's Theme,Bruce Rowland
Glycerine,Bush
Love Actually,Cady Groves
Awesome,Charles Jenkins
Our God,Chris Tomlin
Silver Scrapes,Danny McCarthy
He's Able,Deitrick Haddon
Save Tonight,Eagle Eye Cherry
May It Be,Enya
Get Your Shine On,Florida Georgia Line
My My My,GG feat Gary Wright and Baby Brown
Europa,Globus
Hampster Dance,Hampton the Hampster
Bullet,Hollywood Undead
Let It Go,Idina Menzel
Demons,Imagine Dragons
Hide And Seek,Imogen Heap
Beautiful Girl,INXS
No more lies,Iron Maiden
Blood Brothers,Iron Maiden
The Wicker Man,Iron Maiden
Somewhere Over the Rainbow,Israel Kamakawiwoole
Stamp on the Ground,ItaloBrothers
Replay,Iyaz
Bold as love,Jimi Hendrix
One of Us,Joan Osborne
Take Me Home - Country Roads,John Denver
Waiting on the World to Change,John Mayer
You Raise Me Up,Josh Groban
Unconditionally,Katy Perry
Behind These Hazel Eyes,Kelly Clarkson
Heartbeat,Klaas
He's a Pirate,Klaus Badelt
Punga,Klingande
Crash My Party,Luke Bryan
Master of the wind,Manowar
Eggs -Furries In A Blender RMX-,Mayhem
Everybody,Mike Candys
Wrecking Ball,Miley Cyrus
Push Play,Miriam Bryant
Storm Spirits,MistFolk
Torn,Natalie Imbruglia
ICE CREAM TRUCK,Neighborhood Annoyance
Just A Dream,Nelly
Nice Guys,nigahiga
A World Without Danger,Noam Kaniel
Dragostea Din Tei,O Zone
Electricity,Orchestral Manoeuvres in the Dark
Nothing In This World,Paris Hilton
Hey Mario,Patent Pending
Self Destruct,Pegboard Nerds
Razor Sharp,Pegboard Nerds and Tristam
Intensive Care Unit,Renard
Still loving you,Scorpions
