song,artist,chord_progression
Be Like That,3 Doors Down,I → V → vi → IV
Someone Like You,Adele,I → V → vi → IV
This Is What It Feels Like,Armin van Buuren,I → V → vi → IV
All You Need Is Love,Avicii - Ezon remix,I → V → vi → IV
Girlfriend,Avril Lavigne,I → V → vi → IV
Complicated,Avril Lavigne,I → V → vi → IV
Four Chord Songs,Axis of Awesome,I → V → vi → IV
What's My Age Again,Blink 182,I → V → vi → IV
Living On A Prayer,Bon Jovi,I → V → vi → IV
Born to make you happy,Britney Spears,I → V → vi → IV
Grenade,Bruno Mars,I → V → vi → IV
Call Me Maybe,Carly Rae Jepsen,I → V → vi → IV
So Small,Carrie Underwood,I → V → vi → IV
Every Time We Touch,Cascada,I → V → vi → IV
Awesome,Charles Jenkins,I → V → vi → IV
Parachute,Cheryl Cole,I → V → vi → IV
Jar Of Hearts,Christina Perri,I → V → vi → IV
Time After Time,Cyndi Lauper,I → V → vi → IV
Breakfast At Tiffany's,Deep Blue Something,I → V → vi → IV
Heart Attack,Demi Lovato,I → V → vi → IV
Stereo Love,Edward Maya,I → V → vi → IV
Escape,Enrique Iglesias,I → V → vi → IV
Dimelo,Enrique Iglesias,I → V → vi → IV
Always,Erasure,I → V → vi → IV
Bring Me To Life,Evanescence,I → V → vi → IV
My Songs Know What You Did In The Dark,Fall Out Boy,I → V → vi → IV
Whistle,Flo Rida,I → V → vi → IV
21 Guns,Green Day,I → V → vi → IV
When I Come Around,Green Day,I → V → vi → IV
Holiday,Green Day,I → V → vi → IV
Boulevard of Broken Dreams,Green Day,I → V → vi → IV
I'm Yours,Jason Mraz,I → V → vi → IV
The Internet Is For Porn,Jeff Marx and Robert Lopez,I → V → vi → IV
Illumielle,Jo Blankenburg,I → V → vi → IV
Already Gone,Kelly Clarkson,I → V → vi → IV
The Edge Of Glory,Lady Gaga,I → V → vi → IV
Paparazzi,Lady Gaga,I → V → vi → IV
Alejandro,Lady Gaga,I → V → vi → IV
Transcendence,Lindsey Stirling,I → V → vi → IV
Castle Of Glass,Linkin Park,I → V → vi → IV
Numb,Linkin Park,I → V → vi → IV
She Will Be Loved,Maroon 5,I → V → vi → IV
Real World,Matchbox 20,I → V → vi → IV
Ai Se Eu Te Pego,Michel Telo,I → V → vi → IV
2012 'If The World Would End',Mike Candys,I → V → vi → IV
The Cave,Mumford and Sons,I → V → vi → IV
Please Play This Song On The Radio,NOFX,I → V → vi → IV
Little Talks,Of Monsters And Men,I → V → vi → IV
Wagon Wheel,Old Crow Medicine Show,I → V → vi → IV
Live While We're Young,One Direction,I → V → vi → IV
Say,One Republic,I → V → vi → IV
Let Her Go,Passenger,I → V → vi → IV
Take A Walk,Passion Pit,I → V → vi → IV
U and Ur Hand,Pink,I → V → vi → IV
Mizuiro Girlfriend,Plastic Tree,I → V → vi → IV
Snow -Hey Oh-,Red Hot Chili Peppers,I → V → vi → IV
Otherside,Red Hot Chili Peppers,I → V → vi → IV
Love The Way You Lie Part 2,Rihanna,I → V → vi → IV
Living in Stereo,RIO,I → V → vi → IV
Seasons,Rome,I → V → vi → IV
Listen To Your Heart,Roxette,I → V → vi → IV
Waka Waka,Shakira,I → V → vi → IV
Wasted Time,Skid Row,I → V → vi → IV
The Bannered Mare,Skyrim OST,I → V → vi → IV
Run,Snow Patrol,I → V → vi → IV
Confusion and Frustration in Modern Times,Sum 41,I → V → vi → IV
Walking Disaster,Sum 41,I → V → vi → IV
Stay Stay Stay,Taylor Swift,I → V → vi → IV
I Knew You Were Trouble,Taylor Swift,I → V → vi → IV
Eyes Open,Taylor Swift,I → V → vi → IV
Life,The Avett Brothers,I → V → vi → IV
Just What I Needed,The Cars,I → V → vi → IV
Jack Sparrow,The Lonely Island,I → V → vi → IV
Sub Focus,Tidal Wave,I → V → vi → IV
Pair of Dice,Tiesto and Allure,I → V → vi → IV
It's Your Love,Tim McGraw,I → V → vi → IV
Where The Green Grass Grows,Tim McGraw,I → V → vi → IV
Africa,Toto,I → V → vi → IV
Hey Soul Sister,Train,I → V → vi → IV
River flows in you,Yiruma,I → V → vi → IV
Say Something,A Great Big World,I → V → vi → IV
Lieder,Adel Tawil,I → V → vi → IV
Amazing,Alex Lloyd,I → V → vi → IV
I Love College,Asher Roth,I → V → vi → IV
Hey Brother,Avicii,I → V → vi → IV
The One,Backstreet Boys,I → V → vi → IV
All I Ever Wanted,Basshunter,I → V → vi → IV
Don't Think Twice It's Alright,Bob Dylan,I → V → vi → IV
To The Stars,Braken,I → V → vi → IV
You Drive Me Crazy,Britney Spears,I → V → vi → IV
Tears of The Dragon,Bruce Dickinson,I → V → vi → IV
Jessica's Theme,Bruce Rowland,I → V → vi → IV
Glycerine,Bush,I → V → vi → IV
Love Actually,Cady Groves,I → V → vi → IV
Awesome,Charles Jenkins,I → V → vi → IV
Our God,Chris Tomlin,I → V → vi → IV
Silver Scrapes,Danny McCarthy,I → V → vi → IV
He's Able,Deitrick Haddon,I → V → vi → IV
Save Tonight,Eagle Eye Cherry,I → V → vi → IV
May It Be,Enya,I → V → vi → IV
Get Your Shine On,Florida Georgia Line,I → V → vi → IV
My My My,GG feat Gary Wright and Baby Brown,I → V → vi → IV
Europa,Globus,I → V → vi → IV
Hampster Dance,Hampton the Hampster,I → V → vi → IV
Bullet,Hollywood Undead,I → V → vi → IV
Let It Go,Idina Menzel,I → V → vi → IV
Demons,Imagine Dragons,I → V → vi → IV
Hide And Seek,Imogen Heap,I → V → vi → IV
Beautiful Girl,INXS,I → V → vi → IV
No more lies,Iron Maiden,I → V → vi → IV
Blood Brothers,Iron Maiden,I → V → vi → IV
The Wicker Man,Iron Maiden,I → V → vi → IV
Somewhere Over the Rainbow,Israel Kamakawiwoole,I → V → vi → IV
Stamp on the Ground,ItaloBrothers,I → V → vi → IV
Replay,Iyaz,I → V → vi → IV
Bold as love,Jimi Hendrix,I → V → vi → IV
One of Us,Joan Osborne,I → V → vi → IV
Take Me Home - Country Roads,John Denver,I → V → vi → IV
Waiting on the World to Change,John Mayer,I → V → vi → IV
You Raise Me Up,Josh Groban,I → V → vi → IV
Unconditionally,Katy Perry,I → V → vi → IV
Behind These Hazel Eyes,Kelly Clarkson,I → V → vi → IV
Heartbeat,Klaas,I → V → vi → IV
He's a Pirate,Klaus Badelt,I → V → vi → IV
Punga,Klingande,I → V → vi → IV
Crash My Party,Luke Bryan,I → V → vi → IV
Master of the wind,Manowar,I → V → vi → IV
Eggs -Furries In A Blender RMX-,Mayhem,I → V → vi → IV
Everybody,Mike Candys,I → V → vi → IV
Wrecking Ball,Miley Cyrus,I → V → vi → IV
Push Play,Miriam Bryant,I → V → vi → IV
Storm Spirits,MistFolk,I → V → vi → IV
Torn,Natalie Imbruglia,I → V → vi → IV
ICE CREAM TRUCK,Neighborhood Annoyance,I → V → vi → IV
Just A Dream,Nelly,I → V → vi → IV
Nice Guys,nigahiga,I → V → vi → IV
A World Without Danger,Noam Kaniel,I → V → vi → IV
Dragostea Din Tei,O Zone,I → V → vi → IV
Electricity,Orchestral Manoeuvres in the Dark,I → V → vi → IV
Nothing In This World,Paris Hilton,I → V → vi → IV
Hey Mario,Patent Pending,I → V → vi → IV
Self Destruct,Pegboard Nerds,I → V → vi → IV
Razor Sharp,Pegboard Nerds and Tristam,I → V → vi → IV
Intensive Care Unit,Renard,I → V → vi → IV
Still loving you,Scorpions,I → V → vi → IV
That Don't Impress Me Much,Shania Twain,I → V → vi → IV
Higher Love,Steve Winwood,I → V → vi → IV
Your Love is a Song,Switchfoot,I → V → vi → IV
Wedding Dress,Taeyang,I → V → vi → IV
From Prying Plans into the Fire,Tamas Wells,I → V → vi → IV
Ciudad Magica,Tan Bionica,I → V → vi → IV
Love Story,Taylor Swift,I → V → vi → IV
You're Gonna Go Far Kid,The Offspring,I → V → vi → IV
Satisfied in You,the Sing Team,I → V → vi → IV
4ever,The Veronicas,I → V → vi → IV
Everything I'm Not,The Veronicas,I → V → vi → IV
We Own The Night,The Wanted,I → V → vi → IV
Ai -'ation-,UNiTE,I → V → vi → IV
Don't Trust Me,3OH3,I → V → vi → IV
Say Something,A Great Big World,I → V → vi → IV
Girl's Not Grey,AFI,I → V → vi → IV
Get Back ASAP,Alexandra Stan,I → V → vi → IV
No One,Alicia Keys,I → V → vi → IV
Phoenix,All Levels at Once,I → V → vi → IV
Willst Du,Alligatoah,I → V → vi → IV
Narben,Alligatoah,I → V → vi → IV
Forever Young,Alphaville,I → V → vi → IV
Painful Like,Austra,I → V → vi → IV
Father Told Me,Avicii,I → V → vi → IV
The Nights FIFA 15 Soundtrack,Avicii,I → V → vi → IV
The Days,Avicii,I → V → vi → IV
What Would You Do,Bastille,I → V → vi → IV
Where Is The Love,Black Eyed Peas,I → V → vi → IV
American Girl,Bonnie Mckee,I → V → vi → IV
Whiskey Lullaby,Brad Paisley and Alison Krauss,I → V → vi → IV
I Need Your Love,Calvin Harris,I → V → vi → IV
Witch Doctor,Cartoons,I → V → vi → IV
That's Falling in Love,Chelsea Ward,I → V → vi → IV
Limbo,Daddy Yankee,I → V → vi → IV
PEWDIEPIE Song,Dj Fortify,I → V → vi → IV
Cool Kids,Echosmith,I → V → vi → IV
Bailando Espanol,Enrique ft Descemer Bueno Gente De Zona,I → V → vi → IV
A Boy and a Girl,Eric Whitacre,I → V → vi → IV
Young Volcanoes,Fall Out Boy,I → V → vi → IV
Big Girls Don't Cry,Fergie,I → V → vi → IV
Whistle,Flo RIda,I → V → vi → IV
Cruise,Florida Georgia Line,I → V → vi → IV
Stacy's Mum,Fountains Of Wayne,I → V → vi → IV
Smoke Rings in the Dark,Gary Allan,I → V → vi → IV
X-Kid,Green Day,I → V → vi → IV
Boulevard of Broken Dreams,Green Day,I → V → vi → IV
Metal Gear,Harry Gregson-Williams,I → V → vi → IV
What About Love,Heart,I → V → vi → IV
Blueshift Galaxy,HertzDevil,I → V → vi → IV
Bridge of Khazad-dum,Howard Shore,I → V → vi → IV
Give This Song A Title,Jacksfilms,I → V → vi → IV
All of Me,John Legend,I → V → vi → IV
Half of My Heart,John Mayer,I → V → vi → IV
